SUBJECT_NUMBER,Chest,Weight,Hip,Height,Waist,Inseam
10865,41.5,187.44,40.04,69.57,36.77,33.65
10874,39.25,196.68,41.22,70.47,35.75,32.54
10888,36.69,148.5,37.17,67.17,30.0,30.06
10892,34.02,133.1,35.91,65.79,28.86,30.18
10995,37.05,137.94,35.63,67.64,28.94,30.18
11017,35.98,146.74,35.87,70.12,30.04,32.07
11031,36.54,133.76,35.35,63.78,31.42,28.8
11043,37.28,155.76,38.39,68.03,31.89,31.64
11051,36.65,150.26,35.79,69.92,30.24,33.33
11054,34.57,139.7,34.41,67.99,29.65,30.06
11055,38.9,167.64,39.02,67.72,32.83,31.68
11069,38.35,147.84,36.65,62.52,33.74,28.33
11073,42.36,213.4,42.52,67.91,37.32,31.48
11084,36.54,158.18,37.6,66.34,31.18,30.5
11090,42.32,197.12,40.79,70.71,36.34,33.72
11104,39.09,188.76,40.51,71.46,33.39,34.12
11109,39.8,190.96,39.57,71.06,35.71,32.86
11115,41.5,205.04,40.87,73.82,37.24,33.41
11118,42.72,225.28,41.97,72.32,36.73,33.21
11120,38.15,184.8,39.92,72.4,32.87,34.71
11148,37.05,146.52,35.63,66.02,33.07,29.75
11167,38.31,154.0,37.09,65.67,33.46,28.49
11184,36.69,162.36,37.99,67.13,32.68,31.36
11189,41.5,194.26,40.63,68.19,36.34,30.81
11192,40.47,185.24,41.06,68.39,34.88,31.68
11224,36.89,149.16,37.2,66.89,30.75,30.06
11231,37.17,164.56,36.97,72.28,30.51,32.78
11233,40.43,184.36,40.12,70.16,34.45,33.06
11239,41.38,198.66,41.57,70.94,37.09,32.27
11255,38.07,168.52,38.03,69.65,31.18,32.03
11291,37.64,153.12,37.36,66.22,33.03,30.26
11297,40.83,185.24,39.65,71.38,34.69,33.41
11300,45.24,192.94,40.24,67.56,34.13,31.52
11330,41.54,165.22,38.31,65.87,30.59,31.24
11346,37.36,166.32,37.95,71.18,33.19,31.83
11377,37.76,185.02,39.17,69.45,32.01,32.31
11406,37.32,156.2,37.32,66.89,31.65,30.65
11421,37.48,152.9,35.43,68.62,29.29,34.47
11422,37.24,141.46,36.34,66.34,31.42,30.3
11431,36.73,160.6,37.68,67.17,32.99,32.78
11432,39.72,187.44,40.63,72.36,34.13,32.54
11466,37.13,151.14,36.3,70.31,31.57,33.45
11469,34.65,130.68,35.0,68.43,28.35,33.06
11473,36.65,154.66,36.73,67.24,31.42,32.58
11476,36.06,145.86,35.04,67.87,29.84,32.15
11506,38.39,167.64,38.11,66.93,33.62,29.31
11511,38.19,157.3,36.77,68.94,29.76,31.32
11515,43.35,217.36,43.03,71.85,37.99,31.52
11535,41.81,210.98,43.62,66.57,37.32,30.97
11541,41.18,179.74,40.12,67.2,34.69,30.26
11555,39.84,172.48,38.54,68.03,32.91,32.27
11588,40.83,200.86,40.31,74.96,33.27,34.35
11622,39.21,174.24,38.94,67.99,30.35,31.6
11628,42.91,217.36,42.6,73.07,35.67,32.5
11635,39.25,192.72,41.81,68.15,35.28,31.05
11762,35.71,149.16,36.89,65.08,30.16,30.22
11764,39.33,176.22,40.35,66.89,35.2,30.46
11788,40.98,229.46,43.31,76.38,35.98,36.64
11792,40.71,170.94,39.13,66.42,34.21,29.47
11800,35.91,155.98,36.22,67.91,31.26,31.87
11807,35.91,155.32,36.93,69.25,30.08,32.82
11808,37.17,147.62,36.89,70.55,31.02,31.99
11810,38.78,168.08,38.78,66.93,32.72,31.05
11812,38.35,169.84,38.78,68.62,31.18,31.56
11816,39.57,181.28,41.73,67.52,35.31,29.71
11818,38.27,161.26,36.14,73.82,30.59,34.59
11832,42.6,193.82,42.4,64.96,36.46,29.31
11845,39.41,177.32,38.39,68.78,33.15,30.77
11881,38.15,162.36,37.48,68.82,31.54,31.48
11885,38.74,187.88,40.16,70.98,31.26,34.12
11897,39.37,175.34,40.43,69.88,33.11,32.5
11900,45.0,238.04,44.49,72.44,39.06,33.65
11916,38.74,172.26,38.9,69.41,32.24,31.83
11933,34.41,134.64,34.49,68.35,28.39,31.76
11959,38.94,165.0,39.96,68.19,30.67,30.85
11962,41.57,182.38,39.17,68.19,34.72,31.24
11964,43.9,194.04,41.06,67.48,38.9,31.2
11972,38.23,175.34,38.46,69.41,32.95,33.09
11974,37.8,141.68,37.05,64.96,31.34,28.76
12003,39.8,172.7,39.65,65.12,35.51,29.12
12013,37.56,152.68,38.19,67.95,32.4,31.09
