SUBJECT_NUMBER,Chest,Weight,Hip,Sleeve,Height,Waist,Neck,Inseam,Forearm
26088,35.08,134.86,38.43,31.57,64.37,27.83,13.9,29.39,9.61
26090,37.52,132.0,39.37,28.74,58.78,29.02,12.95,25.34,9.45
26091,39.92,153.78,40.04,32.56,64.45,32.48,14.76,29.04,10.04
26092,34.29,137.5,36.61,32.6,65.04,27.24,14.06,30.93,10.47
26093,34.02,128.92,35.87,32.09,65.35,27.09,13.58,29.98,10.39
26094,35.63,128.92,36.06,32.83,64.02,27.32,13.46,29.79,10.08
26095,32.6,106.26,33.31,30.35,62.13,25.59,13.27,29.0,9.33
26096,35.04,145.2,39.61,31.14,60.75,28.94,14.57,26.68,10.51
26103,33.58,134.86,38.98,31.26,63.31,27.24,14.33,29.63,9.92
26104,34.29,120.12,35.98,31.54,62.68,27.64,13.98,28.53,9.65
26105,37.48,157.74,40.75,33.94,66.46,29.76,14.06,31.13,10.51
26108,36.54,139.04,39.92,30.39,62.44,30.83,13.11,28.8,10.04
26109,35.08,149.16,41.73,32.44,65.63,29.8,13.46,29.75,10.24
26110,36.57,157.96,41.89,32.05,66.22,29.57,13.82,30.38,10.04
26111,33.11,130.02,36.65,32.48,66.18,27.24,13.54,30.18,9.61
26113,34.72,138.82,40.04,32.2,64.45,27.4,13.11,31.13,9.8
26116,37.36,156.86,40.91,31.34,62.6,31.18,14.09,28.09,10.47
26117,37.76,141.9,36.89,33.62,65.04,29.72,14.33,30.93,10.24
26118,37.32,149.6,39.96,33.23,65.47,30.83,14.02,30.18,10.47
26119,40.24,154.22,39.13,33.23,62.8,35.87,14.21,30.57,11.02
26121,44.45,208.12,44.29,32.52,65.98,37.99,15.51,29.87,12.8
26123,34.02,115.28,36.89,29.29,58.9,26.61,12.83,26.99,9.96
26124,36.61,138.16,39.45,32.2,61.73,29.49,13.66,28.25,10.31
26125,35.2,146.08,39.92,32.28,67.64,27.48,13.54,32.43,9.45
26127,31.54,106.92,34.72,29.72,63.98,24.21,13.27,30.02,8.74
26129,35.83,143.44,39.88,32.36,65.79,27.48,13.78,29.91,9.84
26131,34.06,125.84,37.6,32.2,63.19,26.3,13.27,30.1,9.17
26134,39.09,160.16,42.05,33.43,66.73,31.02,15.12,31.44,10.35
26136,36.38,144.98,40.51,31.97,62.01,28.5,12.6,28.61,9.72
26138,38.11,160.82,38.62,33.11,64.25,30.63,13.66,30.89,11.26
26139,41.89,174.9,41.81,34.69,65.51,34.06,15.12,32.27,11.02
26142,37.48,126.5,36.18,31.06,61.73,29.02,12.83,27.7,9.88
26143,39.02,151.58,38.19,32.05,64.06,30.51,14.84,28.45,10.79
26144,34.13,129.58,38.43,29.45,60.31,27.64,13.39,26.91,10.08
26146,36.02,128.04,35.28,32.01,65.35,28.62,13.11,31.4,9.61
26147,36.22,122.98,36.65,30.08,60.87,29.45,13.43,26.6,8.46
26148,33.03,127.6,36.97,32.72,63.94,27.2,13.39,29.63,9.29
26149,34.69,132.66,35.94,32.24,66.73,26.81,13.54,31.17,9.76
26151,36.42,138.6,36.69,32.99,69.45,28.39,13.9,32.5,10.31
26154,36.26,137.5,37.4,33.39,64.8,28.23,13.74,32.15,10.12
26157,35.43,149.6,39.8,32.99,65.71,28.15,13.35,30.22,10.24
26160,33.98,120.78,34.76,33.19,66.54,26.46,13.35,31.76,9.84
26161,37.36,144.98,39.57,31.3,63.39,29.45,13.46,27.74,10.39
26163,39.13,148.72,39.02,31.61,64.96,29.13,14.13,28.76,10.75
26164,41.42,174.9,43.31,33.98,64.88,31.93,13.98,30.81,10.0
26166,37.8,160.16,39.8,31.77,66.26,30.35,14.96,29.39,11.22
26167,37.72,165.44,39.02,34.41,67.76,31.3,14.65,32.9,10.35
26171,32.05,102.74,34.8,30.04,61.38,24.96,12.4,27.9,8.66
26174,33.66,121.88,37.17,30.63,62.87,26.77,13.74,28.06,9.84
26176,33.66,135.3,34.88,34.69,69.21,26.81,13.7,33.96,10.08
