SUBJECT_NUMBER,Chest,Weight,Hip,Sleeve,Height,Waist,Neck,Inseam,Forearm
8068,39.45,173.36,37.72,36.77,73.31,30.43,16.18,34.04,11.81
8071,30.51,104.72,31.97,29.92,62.01,25.47,14.33,27.31,9.61
8076,38.39,170.06,38.98,34.41,68.15,33.15,16.18,30.85,11.89
8094,41.54,166.54,38.27,33.58,66.61,33.7,15.31,29.71,11.57
8110,36.54,157.3,37.09,35.79,72.72,31.1,15.59,34.43,10.83
8126,35.16,134.2,35.08,33.31,65.08,27.72,14.21,30.14,11.26
8132,36.3,152.46,36.61,36.3,70.0,30.39,15.08,36.01,12.6
8145,38.35,183.48,41.42,34.53,71.54,35.04,16.06,32.15,11.18
8152,40.0,173.14,37.87,33.35,65.47,34.72,16.81,29.91,12.4
8153,39.02,174.02,37.8,35.83,71.3,33.54,15.71,32.78,11.57
8155,37.56,150.92,36.34,36.02,71.81,29.49,16.46,33.37,11.89
8156,37.44,154.22,36.34,33.86,68.27,32.17,14.92,31.28,11.38
8158,39.06,161.48,37.4,35.59,66.93,30.67,15.91,31.48,12.68
8163,41.14,183.92,39.72,35.51,70.87,34.72,15.51,33.84,11.93
8172,39.02,173.8,39.53,34.37,68.98,32.64,16.61,31.87,12.01
8186,38.5,182.16,38.74,36.22,73.11,33.23,16.3,34.83,11.81
8188,39.09,196.46,41.57,34.72,72.24,34.02,16.5,32.82,11.57
8192,42.99,177.98,39.33,34.76,65.63,37.24,16.34,29.87,11.73
8200,33.98,129.58,35.12,32.8,62.64,29.49,15.24,29.12,10.63
8206,38.15,173.8,39.17,34.88,65.2,33.74,16.18,30.02,12.52
8207,38.35,166.54,37.95,35.08,69.96,32.4,15.83,32.74,11.81
8212,40.91,181.94,39.13,33.9,69.57,37.01,16.1,31.52,11.3
8213,37.64,179.74,38.9,35.35,72.64,31.42,15.94,33.57,11.46
8275,36.65,165.0,38.66,33.46,66.26,32.95,16.3,30.02,11.54
8315,35.94,143.66,35.0,33.9,71.57,28.58,15.51,32.54,11.46
8365,42.09,201.52,41.85,33.58,67.72,37.56,17.2,29.0,12.48
8370,38.5,162.58,39.37,34.25,68.5,31.02,16.26,33.33,11.89
8377,40.2,180.84,39.65,35.63,69.21,32.87,16.89,31.64,12.2
8388,39.96,173.8,39.61,33.7,67.2,33.7,16.38,29.83,12.56
8438,37.83,166.1,39.13,35.04,67.17,31.73,15.83,31.64,11.81
