SUBJECT_NUMBER,Chest,Weight,Hip,Height,Waist,Inseam
24256,29.61,99.0,35.04,62.17,23.82,27.54
24258,37.28,136.62,37.05,68.03,31.02,30.26
24259,33.82,135.96,38.5,65.63,28.78,30.02
24262,34.17,122.32,36.5,63.66,26.77,30.57
24263,30.63,105.16,33.74,62.24,24.41,29.31
24274,32.99,120.78,35.04,66.97,25.83,30.34
24290,33.7,121.88,36.06,65.94,26.77,30.61
24291,32.09,116.38,36.69,61.69,26.97,29.31
24295,32.95,104.06,35.59,61.22,27.28,29.0
24297,36.69,149.38,39.84,63.62,28.66,28.76
24298,36.89,127.16,37.8,60.51,28.07,26.87
24300,34.06,115.94,33.54,65.59,25.51,30.77
24301,33.66,114.4,35.79,63.07,25.59,29.63
24303,38.5,165.0,40.08,69.13,30.35,33.06
24305,38.74,152.68,40.83,65.98,30.75,30.14
24307,36.14,148.72,40.2,64.09,29.06,28.41
24309,35.63,146.96,38.27,66.93,28.7,30.61
24310,36.81,135.96,39.29,62.13,28.78,26.48
24313,36.02,145.42,37.91,65.24,31.22,28.53
24314,33.35,113.08,34.37,62.36,27.95,28.72
24317,33.19,121.66,34.8,67.48,26.5,31.24
24323,40.28,201.52,45.94,68.43,34.53,31.44
24342,41.73,173.8,42.6,62.17,34.84,27.54
24347,34.8,143.44,38.78,65.35,27.36,29.83
24351,34.84,127.38,37.64,61.46,28.35,27.78
24353,38.07,163.46,41.22,64.76,31.93,30.3
24538,34.69,151.8,42.13,66.34,27.64,28.61
24548,34.29,146.74,40.08,64.65,29.02,30.73
24551,32.48,119.02,36.22,64.65,25.35,32.27
24565,29.33,96.58,33.39,61.73,23.94,28.09
24573,33.19,110.22,35.63,62.48,24.76,30.5
24586,38.94,159.72,39.21,67.32,29.37,30.93
24601,39.37,139.48,38.43,61.34,32.68,27.31
24603,35.51,147.18,38.82,66.93,28.86,30.46
24615,31.5,112.42,35.16,61.22,26.3,28.61
24616,36.22,137.94,37.99,62.48,29.06,27.66
24619,32.76,112.42,34.21,61.1,25.08,28.29
24620,34.13,157.08,40.08,69.92,28.62,34.08
24622,36.06,144.1,40.63,61.5,31.06,28.61
24631,32.8,120.56,35.16,65.87,25.98,31.56
24633,38.5,143.44,38.9,65.43,29.65,29.43
24634,33.94,134.42,37.24,65.71,28.46,32.23
24637,40.12,168.52,42.52,66.97,32.17,30.26
24640,36.22,133.76,38.74,64.09,28.31,28.06
24644,36.22,125.84,35.79,63.86,27.68,29.08
24666,33.43,115.28,37.48,61.69,27.32,28.92
24667,37.01,153.78,41.06,67.36,29.33,30.14
24668,36.18,141.68,40.55,65.12,28.98,29.75
24669,36.77,137.94,38.27,65.04,30.08,30.77
24672,36.14,124.74,38.15,62.13,27.2,27.46
24673,37.99,179.96,45.31,66.14,34.41,29.71
24674,32.68,111.98,33.39,62.87,26.73,29.94
24675,34.76,125.84,38.11,62.87,27.8,28.76
24677,37.13,135.74,38.27,61.3,28.43,28.09
24678,34.41,132.22,37.4,69.37,26.02,31.83
24681,32.72,115.72,35.67,65.63,26.26,30.77
24682,33.03,110.88,35.24,60.63,26.1,25.46
24683,36.14,137.72,38.43,63.7,27.36,28.09
24684,33.7,115.72,37.56,62.56,28.03,28.21
24685,34.61,121.66,35.79,61.81,28.5,29.24
24686,35.63,155.76,41.77,64.37,29.41,29.63
24687,36.1,128.7,37.56,62.68,28.31,28.72
24689,33.66,121.44,37.8,62.8,26.85,28.45
24690,34.13,113.96,34.49,61.61,27.09,27.62
24692,34.02,139.48,40.43,65.04,28.39,29.83
24693,36.46,138.82,39.21,64.41,28.74,29.12
24694,31.3,120.56,36.02,67.4,24.92,30.5
24695,35.59,150.04,40.28,68.5,28.54,32.94
24697,33.7,119.9,34.41,65.67,27.8,31.76
24698,35.08,132.0,39.37,62.13,28.07,29.59
24699,39.41,135.96,37.4,62.72,30.87,28.88
24700,33.27,119.68,35.35,63.58,27.28,29.0
24701,36.65,148.72,41.06,65.04,28.03,30.5
24702,35.12,139.04,37.48,63.86,28.11,29.16
24703,39.8,165.0,40.79,65.28,32.4,31.24
24704,34.29,128.26,36.5,61.3,26.85,28.13
24705,36.18,131.34,37.09,62.8,28.23,28.92
24706,38.86,147.84,39.57,62.6,33.43,28.33
24707,33.66,121.22,35.51,62.56,27.64,27.35
24708,41.1,176.66,42.44,63.78,33.58,29.16
24710,38.07,136.18,38.74,62.2,28.62,26.68
24711,32.72,112.2,34.61,61.73,25.71,28.02
24712,33.43,129.14,36.69,68.27,26.81,32.07
24716,34.41,135.52,37.36,65.91,26.97,30.06
24717,31.54,103.62,33.23,63.11,25.12,29.79
24718,35.24,136.84,38.23,65.91,27.95,29.79
24719,35.2,143.88,40.75,63.11,27.99,28.06
24721,37.99,156.64,42.6,66.38,30.04,29.79
24722,32.76,108.46,33.46,63.27,26.06,28.92
24723,34.49,122.54,35.04,63.9,27.72,29.47
24725,35.16,146.74,39.06,64.25,28.82,30.1
24726,37.44,134.42,38.19,63.66,29.41,29.39
24727,31.61,123.2,35.75,67.17,26.22,31.05
24729,33.58,141.02,39.92,61.14,28.46,27.39
24730,31.81,90.86,31.97,58.78,23.27,26.83
24731,36.54,136.4,37.87,59.92,30.28,27.78
24732,31.26,113.52,36.42,62.76,24.37,28.37
24733,41.77,172.7,43.58,64.41,35.75,30.42
24734,33.11,125.84,35.75,68.23,26.65,31.01
24736,37.99,153.34,39.76,63.9,30.83,29.16
24737,32.17,127.6,37.09,61.22,27.48,26.72
24738,34.02,125.62,36.61,66.42,26.26,31.8
24739,37.4,155.1,40.51,67.13,33.78,31.91
24740,33.74,131.78,40.35,61.93,26.57,27.43
24743,40.43,181.5,43.82,68.43,34.65,30.73
24744,32.01,110.88,34.33,60.47,26.77,27.66
24745,36.65,137.94,38.35,60.67,30.67,26.8
24746,35.94,142.56,39.25,64.41,27.87,30.97
24749,39.88,170.06,41.97,69.13,33.19,31.87
24750,38.03,152.9,41.46,64.57,30.55,29.04
24752,42.64,197.34,44.72,68.11,38.31,30.46
24754,32.6,116.16,36.1,62.87,26.3,29.08
24755,37.6,145.42,38.82,66.97,29.13,29.98
24756,36.65,130.68,37.32,62.87,29.09,27.43
24757,36.77,155.54,39.53,68.03,30.98,31.4
24758,33.66,117.04,35.75,61.85,27.28,28.61
24759,35.39,137.5,38.19,64.29,28.9,30.14
24760,35.63,137.06,37.68,65.55,28.19,31.72
24761,36.77,128.26,37.44,64.69,30.12,29.24
